Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
ACBD4,8,-0.87481,-3.0824,0.028871,0.28205,0.0020531,0.024677,-0.72615,-2.5715,0.051837,0.265,0.010126,0.11023
GRIN3A,8,0.42741,1.7525,0.32972,0.77427,0.079694,0.26576,0.089176,0.36564,0.33301,0.6634,0.71463,0.99611
SCLY,8,-0.138,-0.57375,0.61581,0.89899,0.56614,0.74028,-0.16535,-0.68796,0.85138,0.96218,0.49148,0.99611
MFSD8,8,0.038584,0.23877,0.96654,0.9947,0.81128,0.90084,0.035414,0.21939,0.49967,0.79282,0.82634,0.99611
SLC7A5,8,-3.8044,-14.207,0,0,8.33E-46,2.54E-42,-1.0638,-4.0832,0.003937,0.048,4.44E-05,0.00085675
INPP1,8,0.69529,2.7513,0.10007,0.52048,0.0059354,0.056534,0.34393,1.361,0.0075459,0.077966,0.17352,0.83588
OCA2,8,0.021785,0.11175,0.93438,0.99138,0.91102,0.95488,0.066181,0.33959,0.39633,0.71691,0.73417,0.99611
CHSY3,8,-0.37475,-1.5001,0.2851,0.74153,0.13358,0.33593,-0.20738,-0.83342,0.71883,0.90612,0.40461,0.99611
SLC45A4,8,0.071267,0.3883,0.96916,0.9947,0.6978,0.83212,-0.1941,-1.0581,0.76083,0.9302,0.29002,0.99611
ADC,8,-0.081857,-0.49159,0.72638,0.94105,0.62301,0.78533,-0.12727,-0.76498,0.95965,0.99224,0.44429,0.99611
PI4KB,8,-1.4065,-4.0178,0.0019685,0.0375,5.87E-05,0.0012017,-0.91269,-2.6998,0.01378,0.11141,0.0069388,0.080416
HS6ST1,8,-0.34199,-1.9451,0.32283,0.76935,0.051761,0.20704,-0.17189,-0.98008,0.8271,0.95652,0.32705,0.99611
TERGENIC62489,1,0.55546,1.3051,0.48327,0.86393,0.19187,0.41225,-0.036887,-0.086669,0.88386,0.97327,0.93093,0.99611
DGKK,8,-0.07488,-0.37417,0.7395,0.94664,0.70828,0.83909,0.30913,1.5482,0.010499,0.091691,0.12158,0.69069
ALOX15B,8,-0.59003,-2.4154,0.1168,0.5416,0.015719,0.10983,-0.10739,-0.44112,0.96686,0.99226,0.65913,0.99611
SFXN3,8,0.24333,1.1977,0.61385,0.89899,0.23104,0.45491,-0.027071,-0.1333,0.69948,0.89648,0.89396,0.99611
CIDEC,8,0.24395,0.87207,0.6122,0.89884,0.38317,0.59862,-0.38047,-1.3585,0.32644,0.66004,0.17431,0.83669
IL1B,8,0.2735,1.0159,0.56102,0.87963,0.30968,0.52821,0.095127,0.35354,0.31923,0.65722,0.72368,0.99611
SLC30A9,8,-0.30056,-1.5912,0.36877,0.79267,0.11157,0.30831,-0.37079,-1.9656,0.34055,0.67011,0.049339,0.3704
STARD3,8,-0.57065,-2.2406,0.12861,0.55824,0.025052,0.14253,-0.35831,-1.4174,0.36253,0.69322,0.15636,0.80668
ME2,8,-0.75584,-3.8789,0.052493,0.37383,0.00010494,0.0019623,-0.24842,-1.2991,0.60138,0.84353,0.19392,0.87051
NQO2,8,0.20073,0.89991,0.69619,0.93029,0.36817,0.58324,0.061253,0.27532,0.41503,0.73605,0.78307,0.99611
ATP5G1,8,-0.21517,-1.1928,0.49278,0.86583,0.23295,0.45721,-0.030571,-0.16966,0.71391,0.90257,0.86527,0.99611
PFKFB4,8,0.22926,0.69811,0.64075,0.9127,0.48511,0.68297,-0.28501,-0.8675,0.51214,0.79939,0.38567,0.99611
PYGM,8,-0.29384,-1.1504,0.37894,0.80166,0.24998,0.47415,-0.72337,-2.8308,0.052822,0.26656,0.004643,0.057528
ALKBH5,8,0.10321,0.44687,0.89764,0.98851,0.65497,0.80666,-0.20073,-0.86938,0.74081,0.91938,0.38464,0.99611
ATP10A,8,0.33999,1.7159,0.45538,0.8493,0.086188,0.2728,0.12897,0.65139,0.23261,0.56653,0.51479,0.99611
NAALADL2,8,-0.0085573,-0.054705,0.86909,0.98439,0.95637,0.97984,0.077891,0.49827,0.3668,0.69657,0.6183,0.99611
ABCD3,8,0.21471,1.0447,0.66732,0.9204,0.29616,0.51665,0.12078,0.588,0.25459,0.58967,0.55653,0.99611
NAPRT1,8,-0.1667,-0.95633,0.56857,0.8825,0.33891,0.55735,-0.12489,-0.71712,0.96916,0.99263,0.4733,0.99611
PGK2,8,-0.058943,-0.22254,0.76837,0.95292,0.82389,0.90625,-0.082411,-0.31183,0.8878,0.97408,0.75517,0.99611
SLC29A4,8,-0.060438,-0.35938,0.76345,0.95292,0.71931,0.84553,-0.14024,-0.83451,0.92356,0.98255,0.40399,0.99611
COMTD1,8,0.6995,2.216,0.098425,0.52048,0.026692,0.14799,-0.25222,-0.79766,0.5935,0.841,0.42507,0.99611
ALDH1A1,8,0.61757,2.5761,0.14206,0.57965,0.0099931,0.082322,0.10631,0.44342,0.28937,0.62598,0.65746,0.99611
HCN2,8,-0.019785,-0.083114,0.84449,0.97939,0.93376,0.9674,-0.16067,-0.67623,0.86614,0.96774,0.49889,0.99611
P4HTM,8,0.31463,1.6256,0.49541,0.86583,0.10403,0.29606,-0.20237,-1.0456,0.73589,0.91701,0.29575,0.99611
PGD,8,-2.9884,-9.2583,0,0,2.08E-20,1.27E-17,-2.0208,-6.6,0,0,4.11E-11,6.96E-09
ENTPD6,8,-0.5847,-2.4809,0.12008,0.54627,0.013104,0.098917,-0.53171,-2.2617,0.1565,0.48528,0.023717,0.20893
GRIK5,8,-0.13103,-0.52861,0.62762,0.90672,0.59708,0.76402,-0.31793,-1.2839,0.43832,0.75551,0.19917,0.87919
SLC30A8,8,0.066914,0.2791,0.97703,0.9947,0.78017,0.88433,-0.093239,-0.38944,0.92356,0.98255,0.69695,0.99611
B3GNT8,8,0.22414,0.83539,0.65026,0.91856,0.4035,0.61406,-0.37348,-1.3907,0.33497,0.66342,0.1643,0.82073
COX18,8,0.31275,1.1671,0.49705,0.8672,0.24316,0.4679,-0.567,-2.1092,0.12894,0.43522,0.034929,0.28543
CPT1A,8,-0.26058,-1.2435,0.42421,0.82832,0.21369,0.43655,-0.2196,-1.0497,0.6834,0.89093,0.29386,0.99611
KCNJ11,8,0.063854,0.36011,0.98294,0.9947,0.71876,0.84553,0.13733,0.7748,0.21752,0.55033,0.43846,0.99611
GLA,8,0.83902,1.8828,0.0479,0.3561,0.059734,0.22478,0.13103,0.29369,0.22933,0.561,0.76899,0.99611
ERO1LB,8,0.52217,1.6461,0.21785,0.67275,0.099739,0.29014,0.087846,0.27691,0.33465,0.66342,0.78185,0.99611
PLOD3,8,0.25719,1.3111,0.58957,0.89109,0.18982,0.40918,-0.0076504,-0.039003,0.6355,0.86556,0.96889,0.99611
PMM2,8,-1.2706,-4.6299,0.0026247,0.049383,3.66E-06,0.00010135,-1.0473,-3.8455,0.0049213,0.058824,0.00012032,0.0021076
CYP4F8,8,0.61338,1.8506,0.14534,0.58039,0.064234,0.23252,-0.29956,-0.9031,0.47867,0.78315,0.36647,0.99611
B4GALNT2,8,0.17653,0.66717,0.74508,0.94664,0.50466,0.69571,-0.42551,-1.6076,0.25984,0.59259,0.10792,0.63995
FAH,8,0.11403,0.40147,0.87369,0.9852,0.68808,0.82603,-0.0033581,-0.011828,0.62369,0.86018,0.99056,0.99611
GSTM5,8,-0.27637,-1.1637,0.40092,0.81287,0.24455,0.46968,0.13367,0.56515,0.22113,0.55065,0.57197,0.99611
SLC2A2,8,0.30365,1.2532,0.5105,0.87158,0.21012,0.43491,-0.10685,-0.44092,0.96522,0.99224,0.65927,0.99611
CYB5A,8,-0.086189,-0.44103,0.71424,0.93715,0.65919,0.80895,-0.045434,-0.23339,0.76608,0.934,0.81546,0.99611
SLC26A11,8,0.08525,0.24363,0.93635,0.99138,0.80752,0.89895,-0.74168,-2.0961,0.048885,0.25601,0.036076,0.29037
MTCH2,8,-0.17365,-0.78339,0.55479,0.87844,0.4334,0.64064,-0.99661,-4.4814,0.0072178,0.077966,7.42E-06,0.00017125
NDUFA5,8,-0.32773,-1.8315,0.33563,0.77913,0.067029,0.23895,-0.48505,-2.7155,0.1939,0.52255,0.0066185,0.076997
TERGENIC76054,1,-0.90962,-2.7181,0.44718,0.84396,0.0065664,0.060466,0.050336,0.15041,0.96424,0.99224,0.88044,0.99611
PDE4C,8,0.16204,0.676,0.77625,0.95292,0.49904,0.6925,-0.54642,-2.2734,0.14764,0.47089,0.023001,0.20499
SLC24A4,8,-0.23527,-1.6962,0.46293,0.85322,0.089855,0.27777,0.02171,0.15678,0.54232,0.81358,0.87542,0.99611
DLST,8,-1.3357,-3.3242,0.0019685,0.0375,0.00088671,0.012229,-1.0038,-2.5341,0.0068898,0.077778,0.011273,0.12099
CA1,8,0.10236,0.45546,0.89862,0.98851,0.64878,0.80441,0.18454,0.82821,0.11877,0.41419,0.40755,0.99611
KCND1,8,-0.17002,-0.70364,0.56201,0.87988,0.48166,0.67999,-0.19816,-0.82146,0.74902,0.92429,0.41138,0.99611
KCNS1,8,0.25741,1.0531,0.58891,0.89109,0.2923,0.51381,-0.14115,-0.57739,0.92159,0.98255,0.56368,0.99611
DGAT1,8,0.30191,0.90787,0.51411,0.87164,0.36395,0.58048,-0.28371,-0.85154,0.51411,0.80112,0.39447,0.99611
EGLN2,8,0.44377,2.0444,0.3084,0.75968,0.040916,0.18669,-0.16835,-0.77515,0.83924,0.96129,0.43825,0.99611
CYP26B1,8,0.0013641,0.0065365,0.89042,0.98851,0.99478,0.99872,-0.23488,-1.1263,0.63583,0.86556,0.26003,0.97744
PYCRL,8,-0.17183,-0.63078,0.55873,0.87963,0.52819,0.7152,-0.42958,-1.5789,0.25558,0.5897,0.11435,0.66772
CYP4B1,8,-0.18847,-0.8305,0.53281,0.8748,0.40625,0.61513,-0.30966,-1.3657,0.45636,0.76555,0.17203,0.83097
TREH,8,-0.14122,-0.92607,0.60892,0.89705,0.35441,0.57065,0.041614,0.27358,0.4813,0.78449,0.78441,0.99611
UGCG,8,-1.8454,-7.4437,0,0,9.79E-14,1.11E-11,-0.41332,-1.7689,0.27428,0.60712,0.076919,0.50746
KMO,8,0.21449,1.006,0.66765,0.9204,0.31442,0.533,0.043191,0.20288,0.47572,0.78083,0.83923,0.99611
TERGENIC30558,1,0.46169,1.3293,0.56037,0.87963,0.18374,0.40195,0.14312,0.41209,0.78478,0.94261,0.68027,0.99611
ACAD9,8,-0.86884,-3.6008,0.030184,0.2866,0.00031721,0.0050948,-1.0831,-4.4974,0.0022966,0.03211,6.88E-06,0.00016254
TERGENIC95689,1,-0.51235,-1.9875,0.64337,0.91422,0.046864,0.19812,-0.026071,-0.10113,0.90289,0.98229,0.91944,0.99611
PIGQ,8,0.35224,1.3375,0.43274,0.83165,0.18106,0.39934,-0.60667,-2.2885,0.10367,0.38868,0.022111,0.19998
NAA35,8,-0.63637,-1.8487,0.093176,0.51146,0.064503,0.23274,-0.68011,-1.9864,0.07021,0.30703,0.04699,0.35683
UROD,8,-2.4377,-7.7269,0,0,1.10E-14,1.87E-12,-1.5793,-5.1199,0.00032808,0.0078125,3.06E-07,1.10E-05
ADAD1,8,-0.099519,-0.45306,0.68635,0.92854,0.65051,0.80441,-0.10343,-0.47159,0.95604,0.99224,0.63722,0.99611
APOO,8,0.23783,1.0961,0.62795,0.90672,0.27302,0.49446,0.21738,1.0042,0.07021,0.30703,0.3153,0.99611
LPIN3,8,-0.44167,-1.7013,0.22178,0.68077,0.088879,0.27615,-0.43115,-1.6645,0.25361,0.58967,0.096004,0.59597
FADS1,8,0.046872,0.24368,0.98228,0.9947,0.80748,0.89895,-0.15319,-0.79665,0.88451,0.97364,0.42566,0.99611
SLC13A3,8,0.65716,2.1002,0.11745,0.5416,0.035708,0.17284,0.1551,0.49564,0.17618,0.50423,0.62015,0.99611
EPN3,8,0.10543,0.44273,0.89436,0.98851,0.65796,0.80833,-0.35436,-1.4879,0.36778,0.69708,0.13677,0.74413
TERGENIC101098,1,-0.50642,-0.90592,0.64567,0.91577,0.36498,0.58092,0.672,1.202,0.035761,0.21373,0.22935,0.93737
FTCD,8,0.07586,0.41464,0.95899,0.99425,0.6784,0.8186,-0.13494,-0.73769,0.93832,0.98825,0.4607,0.99611
KDM6B,8,-0.59364,-2.3956,0.11516,0.5416,0.016595,0.11367,-0.50899,-2.0659,0.17323,0.50047,0.038836,0.30746
AGPAT6,8,0.57351,1.3049,0.17323,0.60829,0.19192,0.41225,-0.069498,-0.15795,0.84514,0.96161,0.8745,0.99611
CYP1A2,8,0.62009,1.8059,0.14042,0.57682,0.070932,0.24604,-0.06601,-0.19216,0.83005,0.95652,0.84762,0.99611
UPRT,8,-0.46821,-2.1328,0.2021,0.65153,0.032943,0.16515,-0.13124,-0.59831,0.95013,0.99224,0.54963,0.99611
JMJD7-PLA2G4B,7,0.2752,1.2415,0.58924,0.89109,0.21443,0.43689,-0.1592,-0.71807,0.8563,0.96274,0.47272,0.99611
UGT1A9,2,-1.2883,-2.7807,0.14665,0.58052,0.0054236,0.052984,0.038224,0.083267,0.85269,0.96224,0.93364,0.99611
SLC29A1,8,-0.0012787,-0.0057037,0.88353,0.98851,0.99545,0.99896,-0.015584,-0.06962,0.66404,0.88077,0.9445,0.99611
LPIN1,8,-0.31702,-1.8584,0.34678,0.78412,0.06311,0.22982,0.10112,0.59433,0.30545,0.64653,0.55229,0.99611
AADACL4,8,0.038614,0.17473,0.96654,0.9947,0.86129,0.9268,-0.035153,-0.15926,0.73031,0.91349,0.87346,0.99611
TERGENIC58772,1,1.0539,0.95783,0.17618,0.61231,0.33815,0.55712,-0.12178,-0.11068,0.74311,0.92036,0.91187,0.99611
UGT1A7,6,-0.29333,-1.4702,0.45538,0.8493,0.1415,0.34839,0.030295,0.15248,0.58005,0.83239,0.87881,0.99611
EPHX1,8,-0.41094,-1.6732,0.24934,0.71161,0.094296,0.28317,-0.2793,-1.1416,0.52789,0.81017,0.25362,0.97744
PPAPDC1A,8,0.57603,2.5048,0.17224,0.60829,0.012253,0.094789,0.15782,0.68617,0.16896,0.49758,0.49261,0.99611
APOC2,8,0.14842,0.77227,0.80052,0.95989,0.43995,0.64594,0.054038,0.28152,0.43898,0.75551,0.77831,0.99611
SLC9A8,8,0.02731,0.13244,0.94324,0.99138,0.89463,0.94494,-0.067443,-0.32806,0.83629,0.96008,0.74286,0.99611
AKR7A2,8,-0.48969,-2.9589,0.18045,0.62007,0.0030877,0.034098,-0.071131,-0.43194,0.8481,0.96177,0.66578,0.99611
CACNA1D,8,-0.18586,-0.93886,0.53642,0.87574,0.3478,0.56449,-0.28005,-1.4157,0.52625,0.80856,0.15687,0.80668
SLC46A3,8,0.1465,0.74602,0.80282,0.96112,0.45566,0.65822,0.15653,0.79841,0.17323,0.50047,0.42463,0.99611
CMPK1,8,-0.55215,-2.1731,0.14108,0.57775,0.02977,0.15672,-0.70499,-2.7759,0.060039,0.2846,0.0055045,0.066054
UQCRC2,8,-1.38,-4.5699,0.0019685,0.0375,4.88E-06,0.00012519,-1.4106,-4.7286,0.00065617,0.011905,2.26E-06,6.38E-05
ENO2,8,-0.005666,-0.021147,0.87369,0.9852,0.98313,0.99323,-0.37822,-1.4114,0.32972,0.66293,0.15813,0.80792
SLC1A3,8,0.17508,0.85874,0.74836,0.94807,0.39049,0.6057,0.11365,0.55754,0.26936,0.59971,0.57716,0.99611
SLC27A5,8,-0.37273,-1.4683,0.28707,0.74153,0.14203,0.34912,-0.14843,-0.58621,0.90223,0.98214,0.55774,0.99611
MGST2,8,-0.54468,-2.3916,0.14665,0.58052,0.016776,0.11427,0.084372,0.37749,0.34383,0.67482,0.70581,0.99611
PIK3CA,8,0.82278,2.1024,0.053478,0.37731,0.035517,0.17266,-0.12972,-0.33059,0.9521,0.99224,0.74095,0.99611
GRIA1,8,-0.10436,-0.62691,0.67881,0.92614,0.53072,0.71716,-0.035041,-0.21067,0.72999,0.91349,0.83314,0.99611
BPGM,8,0.23029,1.2311,0.63911,0.9127,0.21829,0.44115,0.13899,0.74346,0.21194,0.54607,0.45721,0.99611
ACADL,8,-0.33253,-1.4525,0.33136,0.77633,0.14637,0.35349,-0.31128,-1.3671,0.45276,0.76327,0.17159,0.83018
CYP26A1,8,0.62796,2.7474,0.13517,0.57044,0.0060073,0.056702,-0.051501,-0.22526,0.78379,0.94261,0.82178,0.99611
INPP5J,8,-0.39823,-1.5715,0.26247,0.73059,0.11607,0.31364,-0.21096,-0.83302,0.70866,0.90038,0.40483,0.99611
ALKBH6,8,-0.0118,-0.036942,0.86253,0.98136,0.97053,0.98705,-0.2917,-0.91366,0.49672,0.79019,0.36089,0.99611
ADH1A,8,0.57226,2.1026,0.17323,0.60829,0.035503,0.17266,0.11297,0.41476,0.27198,0.60423,0.67832,0.99611
SLC25A30,8,-0.27586,-1.2253,0.4019,0.81287,0.22046,0.44324,0.14043,0.62414,0.20997,0.54422,0.53254,0.99611
SLC1A2,8,0.81386,2.1288,0.05479,0.37955,0.03327,0.16543,0.24219,0.63314,0.0479,0.25303,0.52664,0.99611
TFAM,8,-0.87479,-3.0414,0.028871,0.28205,0.0023549,0.027501,-1.1358,-3.9547,0.0019685,0.029851,7.66E-05,0.0014155
ABHD14A,8,0.33493,1.7449,0.46424,0.85322,0.080996,0.26869,0.18485,0.96351,0.11745,0.41264,0.33529,0.99611
UGT2A1,8,-0.054645,-0.27099,0.7769,0.95292,0.7864,0.88666,0.21388,1.0649,0.076444,0.32679,0.2869,0.99371
B3GNT6,8,-0.090173,-0.4304,0.70604,0.9316,0.6669,0.81267,-0.40121,-1.9151,0.29167,0.62738,0.055484,0.40555
SLC11A2,8,-0.63047,-2.5715,0.095144,0.51146,0.010127,0.082978,-0.45043,-1.8571,0.22835,0.55949,0.063292,0.44348
MME,8,0.28094,1.4567,0.54692,0.87689,0.1452,0.3528,0.10794,0.55993,0.28478,0.62044,0.57552,0.99611
DDAH2,8,-0.30146,-2.3912,0.36713,0.79181,0.016791,0.11427,-0.064444,-0.51211,0.82612,0.95652,0.60858,0.99611
SLC16A5,8,-0.55897,-1.9112,0.13648,0.573,0.055977,0.21679,-0.6616,-2.2666,0.077756,0.32917,0.023417,0.20749
AWAT1,8,-0.14722,-0.68788,0.59908,0.89427,0.49153,0.68755,-0.18681,-0.87417,0.78609,0.94261,0.38203,0.99611
NME7,8,0.18269,1.1006,0.73163,0.94374,0.27109,0.49331,0.195,1.1774,0.10269,0.38547,0.23905,0.9554
ALDH3B1,8,0.26685,1.6946,0.57087,0.88415,0.090144,0.27831,0.16424,1.0436,0.15781,0.48635,0.29668,0.99611
SLC30A10,8,-0.68464,-3.0532,0.071522,0.45417,0.0022643,0.026648,-0.31234,-1.4003,0.4498,0.76053,0.16142,0.8146
MMACHC,8,0.13566,0.82589,0.82972,0.97458,0.40887,0.61659,0.18464,1.1259,0.11811,0.41332,0.26022,0.97744
GLRX3,8,-1.8131,-7.8725,0,0,3.48E-15,6.23E-13,-0.7504,-3.3096,0.045932,0.24867,0.00093427,0.013691
SLC25A51,8,-0.49946,-1.8791,0.1729,0.60829,0.060229,0.22553,-0.7134,-2.6856,0.055118,0.27451,0.0072397,0.083586
FUT1,8,-0.32315,-1.4344,0.33924,0.78071,0.15146,0.35957,-0.14931,-0.66461,0.89895,0.98138,0.5063,0.99611
SDR42E1,8,0.0979,0.47816,0.9065,0.98892,0.63254,0.7921,-0.21993,-1.0747,0.68241,0.89093,0.28249,0.99151
CYP4Z1,8,0.58382,1.9754,0.16503,0.60529,0.048218,0.20105,-0.010217,-0.034544,0.64403,0.8682,0.97244,0.99611
GPX7,8,0.036791,0.18347,0.96227,0.99425,0.85443,0.92188,0.17037,0.85264,0.14764,0.47089,0.39386,0.99611
HK2,8,-0.83462,-3.3678,0.037402,0.32033,0.00075776,0.010644,-1.3738,-5.5305,0.00065617,0.011905,3.19E-08,1.68E-06
ETNK2,8,-0.50014,-2.0283,0.17257,0.60829,0.042528,0.19091,-0.31592,-1.2824,0.44357,0.75841,0.1997,0.87962
SLCO2A1,8,-0.11501,-0.59603,0.66109,0.9204,0.55115,0.73103,-0.35024,-1.8183,0.37467,0.69975,0.069025,0.46851
CYB561,8,-0.45973,-1.9326,0.20866,0.66044,0.05329,0.21122,-0.2704,-1.1417,0.54856,0.81641,0.25357,0.97744
ATP13A1,8,0.39046,1.6747,0.37336,0.79525,0.093999,0.28255,-0.50657,-2.1675,0.17487,0.50283,0.030196,0.25566
SLC25A29,8,0.57303,2.032,0.17323,0.60829,0.042158,0.1898,-0.10438,-0.37001,0.95768,0.99224,0.71137,0.99611
SLC35D3,8,0.59382,2.2295,0.15814,0.59387,0.025778,0.14523,0.17346,0.65124,0.14042,0.45775,0.51489,0.99611
FLVCR2,8,0.16302,0.64218,0.77461,0.95292,0.52075,0.7085,-0.13168,-0.51897,0.94915,0.99224,0.60378,0.99611
SQRDL,8,0.753,1.6991,0.07874,0.47525,0.089306,0.27663,0.14844,0.33469,0.19226,0.52089,0.73786,0.99611
FDPS,8,-0.44839,-2.3845,0.21654,0.67107,0.017102,0.11507,-0.68007,-3.6219,0.07021,0.30703,0.00029239,0.0047154
UGT2B28,8,0.21851,1.0951,0.6601,0.9204,0.27348,0.49498,0.1288,0.64595,0.23327,0.56653,0.51831,0.99611
ATP6V0A2,8,-0.45698,-1.8223,0.21096,0.66291,0.068405,0.24132,-0.24274,-0.97212,0.61778,0.85982,0.33099,0.99611
CYP27A1,8,0.51286,2.619,0.22605,0.68625,0.0088195,0.075299,0.23164,1.183,0.057087,0.28125,0.23682,0.95337
PIP4K2A,8,0.13696,0.62476,0.82546,0.97369,0.53213,0.71767,-0.38043,-1.7321,0.32677,0.66004,0.083255,0.53311
PTGDS,8,0.076296,0.3246,0.95768,0.99425,0.74548,0.86364,-0.045738,-0.19464,0.76804,0.9349,0.84568,0.99611
AKR1B10,8,0.047444,0.26951,0.98327,0.9947,0.78754,0.88707,-0.047451,-0.27022,0.771,0.93663,0.78699,0.99611
NAT9,8,-0.11353,-0.46561,0.66371,0.9204,0.64149,0.79759,-0.14285,-0.58654,0.91798,0.98255,0.55751,0.99611
LCLAT1,8,0.097246,0.5934,0.90846,0.98894,0.55292,0.7321,0.26655,1.6345,0.028543,0.18511,0.10216,0.62153
PCCB,8,0.0013665,0.0054169,0.89042,0.98851,0.99568,0.99896,0.054491,0.21635,0.43766,0.75551,0.82872,0.99611
TYRP1,8,0.55819,1.3856,0.18635,0.63111,0.16587,0.37956,-0.29257,-0.72232,0.49508,0.79019,0.4701,0.99611
GCK,8,-0.73336,-2.0196,0.058071,0.39159,0.043424,0.19182,-0.84931,-2.346,0.022966,0.16092,0.018974,0.1815
CLCN1,8,-0.44017,-1.9372,0.2231,0.68136,0.052717,0.20922,-0.34579,-1.5254,0.38451,0.7103,0.12716,0.71118
ATP6V1E2,8,-0.72649,-2.5546,0.059711,0.39651,0.010631,0.086248,-0.28237,-1.0006,0.51903,0.80427,0.31701,0.99611
NDUFS3,8,-0.77197,-2.9287,0.049541,0.36105,0.0034038,0.036024,-0.87241,-3.3384,0.019685,0.14634,0.00084269,0.012469
SPTLC2,8,-0.60645,-2.2533,0.10827,0.5356,0.02424,0.14046,-0.4063,-1.512,0.28543,0.62099,0.13053,0.72604
SGSH,8,0.081881,0.34013,0.94291,0.99138,0.73376,0.85453,-0.31625,-1.3132,0.44324,0.75841,0.18913,0.85782
THNSL2,8,0.25093,1.0349,0.59974,0.89432,0.3007,0.52064,-0.18478,-0.76162,0.79068,0.94339,0.44629,0.99611
LSS,8,-0.060766,-0.22393,0.76247,0.95292,0.82281,0.90599,-0.38906,-1.4338,0.31037,0.65062,0.15163,0.79137
GRIK3,8,0.12703,0.76468,0.84646,0.97939,0.44446,0.64881,0.094662,0.57053,0.31955,0.65722,0.56832,0.99611
LIPG,8,0.5734,2.1386,0.17323,0.60829,0.032468,0.16358,0.13538,0.50485,0.21982,0.55065,0.61366,0.99611
IVD,8,0.54992,2.6684,0.19226,0.63323,0.0076216,0.06873,0.09546,0.46311,0.31857,0.65722,0.64329,0.99611
FUT5,8,-0.4961,-3.2832,0.17585,0.61231,0.0010263,0.013904,-0.35005,-2.321,0.375,0.69994,0.020286,0.18929
FOLR3,8,0.27926,1.4675,0.55118,0.87689,0.14225,0.34938,0.2991,1.5796,0.014436,0.11458,0.11421,0.66772
MTF1,8,-0.045713,-0.1787,0.79429,0.95843,0.85817,0.92428,-0.21952,-0.85858,0.6834,0.89093,0.39057,0.99611
NAA40,8,-0.039506,-0.14297,0.80676,0.96318,0.88632,0.94029,-0.69208,-2.4991,0.065617,0.29586,0.012451,0.13197
MLXIP,8,0.024468,0.068851,0.93996,0.99138,0.94511,0.97341,-0.39777,-1.1189,0.29659,0.63305,0.26317,0.97899
AKR7A3,8,-0.22074,-1.2409,0.48458,0.86475,0.21465,0.43689,-0.041624,-0.23519,0.75131,0.92525,0.81406,0.99611
OGDHL,8,0.036373,0.14645,0.96063,0.99425,0.88357,0.93804,-0.21692,-0.874,0.69324,0.89489,0.38212,0.99611
CHRNG,8,0.27018,0.99987,0.56627,0.88151,0.31737,0.53593,-0.055723,-0.20624,0.79724,0.94339,0.83661,0.99611
CERS4,8,0.41049,2.0638,0.35007,0.78804,0.039038,0.18194,-0.1999,-1.0041,0.74278,0.92033,0.31532,0.99611
FHIT,8,-0.1738,-0.6649,0.55413,0.87844,0.50612,0.69608,-0.14533,-0.55986,0.9101,0.98229,0.57558,0.99611
MDH2,8,-0.57079,-2.1891,0.12861,0.55824,0.028593,0.15287,-0.37648,-1.4601,0.33169,0.6634,0.14426,0.7683
ABCA9,8,0.16881,0.84449,0.76345,0.95292,0.3984,0.61071,0.19442,0.97575,0.104,0.38896,0.32919,0.99611
PPIP5K2,8,0.7258,2.4238,0.084646,0.49143,0.015358,0.10899,0.01758,0.058618,0.55643,0.82012,0.95326,0.99611
MAN2A2,8,0.1014,0.35745,0.90125,0.98851,0.72075,0.84592,-0.26826,-0.94554,0.55348,0.8188,0.34438,0.99611
ALDOB,8,0.55417,2.6336,0.18898,0.63181,0.008449,0.072954,0.10694,0.50807,0.28675,0.62295,0.6114,0.99611
ATP6V0E1,8,-0.17483,-0.73774,0.55151,0.87689,0.46067,0.66357,0.019361,0.08176,0.54692,0.81534,0.93484,0.99611
PIK3C2A,8,0.050222,0.2205,0.98786,0.99504,0.82548,0.90744,0.2687,1.1899,0.027559,0.18261,0.2341,0.94759
UGT1A8,3,-0.052781,-0.1624,0.88714,0.98851,0.87099,0.93059,-0.17254,-0.5311,0.76772,0.93488,0.59535,0.99611
IL6,8,0.46073,2.7288,0.28379,0.74153,0.0063556,0.059241,0.047291,0.28009,0.46063,0.76718,0.77941,0.99611
ELOVL6,8,0.7143,2.5221,0.089239,0.49817,0.011667,0.091183,0.17318,0.61116,0.14075,0.45784,0.54109,0.99611
SLC26A3,8,-0.1378,-0.72398,0.61581,0.89899,0.46908,0.67113,-0.10874,-0.57312,0.97047,0.99263,0.56657,0.99611
NDUFS2,8,-1.1247,-3.8967,0.0059055,0.092784,9.75E-05,0.0018458,-1.0784,-3.7705,0.0029528,0.0375,0.00016289,0.0027431
SLC25A43,8,-0.081344,-0.47714,0.72671,0.94105,0.63326,0.79236,-0.04147,-0.24344,0.75066,0.92519,0.80766,0.99611
ABHD12,8,0.54628,2.1891,0.19423,0.63724,0.02859,0.15287,0.16021,0.64199,0.16535,0.49027,0.52088,0.99611
CACNA1I,8,0.61477,1.4806,0.1437,0.58039,0.13871,0.34345,-0.33465,-0.80501,0.4065,0.72855,0.42082,0.99611
