Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
PLA2G2D,8,0.042688,0.15741,0.97441,0.9947,0.87492,0.9321,0.28403,1.0485,0.020341,0.1494,0.29439,0.99611
ST6GALNAC3,8,0.39435,0.92929,0.36975,0.79366,0.35274,0.56902,0.067685,0.15952,0.39337,0.71429,0.87326,0.99611
AQP3,8,0.26463,1.1167,0.57612,0.88419,0.2641,0.48551,0.16621,0.70154,0.15223,0.47835,0.48297,0.99611
CAT,8,0.48668,1.5129,0.25164,0.71415,0.13031,0.33209,0.052241,0.16237,0.44554,0.75851,0.87102,0.99611
IMPA2,8,0.398,1.2024,0.36614,0.79181,0.22922,0.45341,0.1483,0.44811,0.19324,0.52216,0.65407,0.99611
SLC25A20,8,0.17019,0.24099,0.75919,0.95292,0.80956,0.89991,0.021446,0.03039,0.54265,0.81358,0.97576,0.99611
COQ6,8,-1.7507,-3.666,0,0,0.0002464,0.0041724,-1.1462,-2.4441,0.0019685,0.029851,0.01452,0.14901
CYBRD1,8,0.27213,1.494,0.56234,0.87988,0.13518,0.33719,0.35966,1.9758,0.003937,0.048,0.048179,0.36409
LGSN,8,-0.11,-0.55492,0.66962,0.92193,0.57895,0.75091,0.017862,0.090293,0.55446,0.8188,0.92805,0.99611
GABRR1,8,0.1635,0.61773,0.77329,0.95292,0.53675,0.72103,0.10627,0.40186,0.29003,0.62606,0.68779,0.99611
ISYNA1,8,0.23487,0.76903,0.63222,0.90896,0.44188,0.64705,-0.30154,-0.98667,0.47474,0.78005,0.32381,0.99611
SLC34A2,8,0.24277,0.42918,0.61483,0.89899,0.66779,0.81313,-0.058557,-0.10354,0.80906,0.95015,0.91753,0.99611
PDHX,8,-0.13405,-0.19936,0.62238,0.90247,0.84198,0.91524,0.01796,0.026753,0.55446,0.8188,0.97866,0.99611
HILPDA,8,0.2841,0.95182,0.54101,0.87689,0.34119,0.5587,0.15041,0.50402,0.18701,0.51259,0.61424,0.99611
DDO,8,0.46474,1.3351,0.2815,0.74153,0.18185,0.4002,0.11137,0.31995,0.27526,0.60797,0.74901,0.99611
LEP,8,0.28265,0.57288,0.54396,0.87689,0.56673,0.74042,0.30345,0.61545,0.012139,0.10109,0.53826,0.99611
SLC2A13,8,0.69975,2.7225,0.098425,0.52048,0.0064796,0.060057,0.12625,0.49113,0.24213,0.58019,0.62334,0.99611
IDH3G,8,-0.055862,-0.24714,0.77395,0.95292,0.8048,0.89895,-0.013634,-0.06038,0.65715,0.87659,0.95185,0.99611
ENOX1,8,0.32118,0.84807,0.48458,0.86475,0.3964,0.6091,0.084696,0.22365,0.3435,0.67482,0.82303,0.99611
CACNA1H,8,0.88668,1.1443,0.035761,0.31412,0.25249,0.47489,0.029185,0.037626,0.52133,0.80496,0.96999,0.99611
ALOX5,8,0.37354,1.2708,0.40092,0.81287,0.20381,0.42754,0.13253,0.45096,0.22572,0.55645,0.65202,0.99611
STEAP2,8,0.84626,1.8768,0.045932,0.34826,0.060542,0.22602,0.30577,0.67771,0.011155,0.095238,0.49795,0.99611
LOXL4,8,0.27989,0.37465,0.54954,0.87689,0.70792,0.83909,0.13767,0.1843,0.21686,0.55033,0.85378,0.99611
PI4K2B,8,0.44085,0.59093,0.3107,0.76064,0.55457,0.73276,0.38976,0.52266,0.0022966,0.03211,0.60121,0.99611
SLCO1B7,8,0.65279,2.054,0.12106,0.54815,0.03998,0.18491,0.37243,1.1719,0.0029528,0.0375,0.24122,0.95736
GLUD2,8,0.39233,1.3099,0.37205,0.79482,0.19023,0.40977,0.29287,0.97848,0.016404,0.1269,0.32784,0.99611
CLCN7,8,1.0057,1.9287,0.015092,0.1811,0.053768,0.21229,0.11206,0.21477,0.27329,0.60582,0.82995,0.99611
CSGALNACT2,8,0.29267,0.84426,0.52592,0.87405,0.39852,0.61071,0.20754,0.59912,0.084646,0.34584,0.54909,0.99611
KCNJ12,8,-0.10478,-0.55048,0.67782,0.92604,0.58199,0.75325,-0.22909,-1.2041,0.65322,0.87418,0.22857,0.93737
GAL3ST3,8,-0.05472,-0.28526,0.7769,0.95292,0.77545,0.88094,-0.1425,-0.74318,0.91929,0.98255,0.45737,0.99611
ASIC5,8,0.59306,1.061,0.15879,0.59387,0.28868,0.51247,0.23629,0.42274,0.052165,0.265,0.67249,0.99611
A1CF,8,0.61392,2.8015,0.1437,0.58039,0.0050864,0.050336,0.31598,1.4423,0.0091864,0.083582,0.14921,0.78144
MGAT4C,8,0.062345,0.17192,0.98556,0.9947,0.8635,0.9274,0.10857,0.30147,0.28379,0.6199,0.76306,0.99611
ECHS1,8,-0.046398,-0.40131,0.79265,0.95838,0.68819,0.82603,0.18862,1.6319,0.11319,0.4068,0.1027,0.62294
GUSB,8,0.4502,1.2527,0.29921,0.75,0.21032,0.43491,0.18797,0.5231,0.11385,0.4068,0.6009,0.99611
HSD3B7,8,1.3213,1.33,0.0026247,0.049383,0.18352,0.40185,0.068238,0.068639,0.39173,0.71429,0.94528,0.99611
STRA6,8,0.40591,1.6922,0.3563,0.78982,0.090609,0.2784,0.32167,1.3424,0.0091864,0.083582,0.17947,0.8481
SLC6A19,8,0.018983,0.075607,0.92913,0.99138,0.93973,0.97128,0.030719,0.12253,0.51608,0.80255,0.90248,0.99611
GMPR,8,0.18844,1.2442,0.7208,0.94052,0.21343,0.4363,0.17041,1.1263,0.14731,0.47089,0.26003,0.97744
NUDT6,8,-0.13852,-0.4816,0.61516,0.89899,0.63009,0.78968,0.22329,0.78157,0.063648,0.29394,0.43447,0.99611
FA2H,8,0.71662,0.96999,0.088583,0.49817,0.33205,0.55005,0.2292,0.31022,0.058399,0.28125,0.75639,0.99611
CHST1,8,0.21834,0.63116,0.66043,0.9204,0.52793,0.71517,0.20721,0.60121,0.084646,0.34584,0.5477,0.99611
CHP1,8,0.35245,1.1683,0.43176,0.83133,0.24267,0.46785,0.091692,0.30399,0.32579,0.66004,0.76114,0.99611
CHRNA5,8,-0.014581,-0.039049,0.85597,0.97939,0.96885,0.9863,0.14931,0.40152,0.18996,0.51743,0.68804,0.99611
